Product ID,Name,Category ,Price,GTIN,image_url,Whatapp_text,Problem ,Solution 
Ph0001,Rsplus-toothpowder,Signature Products ,"₦5,000",6156000513164,images/Rsplus-toothpowder.pmg,I will like to get RSPLUS-TOOTHPOWDER ,"Are you tired of hiding your smile because of stubborn coffee, tea, or tobacco stains? Do you struggle with chronic gum sensitivity that makes brushing a painful daily chore? Standard commercial toothpastes often contain harsh abrasives and chemicals that provide a temporary fix but weaken your enamel over time.That yellowing and sensitivity isn't just a cosmetic issue—it affects your confidence in business meetings, social gatherings, and personal interactions.","Rsplus Toothpowder uses a proprietary botanical blend designed to gently lift surface stains through natural enzymatic action, not harsh chemical scrubbing. By balancing your mouth's pH levels, we soothe inflamed gums and provide long-term relief from sensitivity. Unlike commercial pastes that focus only on masking the issue, Rsplus reinforces enamel health, leaving your teeth not just brighter, but stronger."
Ph0002,Turmeric curcumin with bioperine and cinnamon capsules ,Signature Products ,"₦15,000",6156000513171,images/Turmeric-capsules.png,I will like to get Turmeric Curcumin with bioperine and cinamon,"Do you deal with persistent joint stiffness or general aches that slow you down? Many people turn to standard turmeric powders, but they often struggle with low absorption—meaning your body doesn't actually utilize the curcumin it needs. Furthermore, fluctuating energy levels and poor metabolic health are constant battles for the modern professional. You aren’t looking for another 'pill'; you are looking to regain the mobility and energy you had years ago. The frustration of trying health supplements that 'just don't work' stops today.","Our formula is engineered for maximum bioavailability. We combine high-potency Turmeric Curcumin with Bioperine (black pepper extract), which is clinically proven to increase curcumin absorption by up to 2000%. To take it further, we’ve added Cinnamon, a powerful botanical known for supporting healthy blood sugar levels and improving metabolic wellness. While other supplements pass through your system without effect, our targeted blend ensures that the anti-inflammatory and metabolic-boosting properties are fully absorbed and put to work immediately."
Ph0003,Oxyderm Magnetic Gold,Partner Products,"₦8,000",6156000513126,images/Oxyderm-magnetic-gold.png,i will like to get Oxyderm Magnetic Gold,"Do you feel like your skin looks dull, uneven, or tired? Environmental stress, hyperpigmentation, and slow cell turnover can make your complexion lose its natural vibrancy. Many brightening lotions rely on harsh bleaching agents that strip your skin of its health, leaving it dry and irritated. True radiance isn’t about hiding your skin—it’s about revealing the glow that's been buried under stress and uneven tone. You deserve a skincare ritual that feels as luxurious as the results it delivers.","Oxyderm Magnetic Gold Lotion combines the luxury of gold-infused skincare with magnetic technology designed to enhance product absorption at the dermal level. The formula actively targets uneven skin tone and promotes cellular rejuvenation, creating a 'magnetic glow' that feels as good as it. Oxyderm Magnetic Gold is naturally anti-inflammatory and boosts blood circulation to the skin's surface. When combined with our unique magnetic delivery system, the nutrients penetrate deeper, ensuring that your skin is hydrated, brightened, and firm, not just on the surface, but from within."
Ph0004,Oxyderm Olympio,Partner Products,"₦8,000",6156000513133,images/Oxyderm-olympio.pmg,I will like to get oxyderm Olympio Magnifying Glow,"Is your skin constantly struggling with extreme dryness, rough texture, or a lack of resilience? Over-the-counter lotions often sit on the surface, providing temporary moisture that fades within an hour. If you’re battling chronic dryness or skin that feels 'tight' and uncomfortable, you aren’t just dealing with a cosmetic issue—you’re dealing with a compromised skin barrier. Stop settling for lotions that underperform. You need a formula that works as hard as you do to restore, protect, and maintain your skin’s natural, healthy softness.","Oxyderm Olympio is formulated with a bio-active repair complex designed to reinforce the skin’s lipid barrier. Unlike standard lotions, Olympio uses a deep-dermal infusion technology that locks in hydration for up to 24 hours while actively smoothing rough, uneven skin textures. By combining high-grade emollients with soothing therapeutic agents, Olympio provides immediate relief to stressed skin. It doesn't just hydrate—it conditions your skin to hold moisture longer, making it feel supple, resilient, and touchably soft all day."
Ph0005,Oxyderm Signature,Partner Products,"₦8,000",6158000513157,images/Oxyderm-signature.png,I will like to get Oxyderm Signature,"Finding a daily lotion that actually delivers visible results without being too greasy or too mild is a challenge. Many people find their skincare routine lacks consistency because their products don't integrate well into a busy lifestyle. If you’re tired of inconsistent skin tone or lotions that feel heavy and uncomfortable under your clothes, you need an upgrade. Your daily skincare shouldn't be a chore. It should be the foundation of your confidence. You need a signature product that works as a reliable, daily partner in maintaining your skin’s best version.","Oxyderm Signature is our balanced, all-in-one moisturizing complex designed for daily use. It combines essential brightening agents with deep-penetrating hydration to target daily sun-exposure dullness and environmental pollutants. The formula is lightweight, fast-absorbing, and built to promote a uniform, healthy complexion. Signature focuses on Bio-Equilibrium—balancing the skin's moisture levels while gently evening out skin tone over time. It’s the perfect 'maintenance' lotion that keeps your skin looking polished, healthy, and vibrant every single day."
Ph0006,Pure Arabian Blue beach,Partner Products,"₦8,000",6156000513188,images/Pure-Arabian-blue-beach.png,I will like to get Pure Arabian Blue beach,"Oxyderm Signature is our balanced, all-in-one moisturizing complex designed for daily use. It combines essential brightening agents with deep-penetrating hydration to target daily sun-exposure dullness and environmental pollutants. The formula is lightweight, fast-absorbing, and built to promote a uniform, healthy complexion. Signature focuses on Bio-Equilibrium—balancing the skin's moisture levels while gently evening out skin tone over time. It’s the perfect 'maintenance' lotion that keeps your skin looking polished, healthy, and vibrant every single day.","Oxyderm Signature is our balanced, all-in-one moisturizing complex designed for daily use. It combines essential brightening agents with deep-penetrating hydration to target daily sun-exposure dullness and environmental pollutants. The formula is lightweight, fast-absorbing, and built to promote a uniform, healthy complexion. Signature focuses on Bio-Equilibrium—balancing the skin's moisture levels while gently evening out skin tone over time. It’s the perfect 'maintenance' lotion that keeps your skin looking polished, healthy, and vibrant every single day."
Ph0007,Pure Arabian Gold,Partner Products,"₦8,000",6156000513119,images/Pure-Arabian-gold.pmg,I will like to get Pure Arabian Gold,"Are you tired of basic lotions that offer moisture but lack that touch of luxury? Many high-end lotions on the market are either too perfumed or simply don't provide the long-lasting radiance you expect from a premium product. If your skin feels lackluster and you're looking for a product that adds a 'wow' factor to your appearance, you aren't alone. You don't just want to moisturize; you want to shimmer, shine, and stand out. You deserve a skincare experience that makes you feel opulent and confident from the moment you apply it.","Pure Arabian Gold Lotion blends traditional Arabian beauty secrets with modern light-reflecting technology. Infused with delicate gold pigments and deeply nourishing natural oils, this lotion provides an instant 'glow' effect while feeding your skin the vitamins it needs to stay soft and hydrated. It’s a dual-action formula. The gold-infused minerals provide an immediate cosmetic radiance (perfect for evenings or special events), while the lipid-rich moisture base ensures your skin remains deeply hydrated throughout the day."
Ph0008,Pure Arabian Vitamin c,Partner Products,"₦8,000",6156000513102,images/Pure-Arabian-vitaminc.png,I will like to get Pure Arabian Vitamin C,"Is your skin looking tired, dull, or showing signs of uneven tone? Sun exposure, environmental pollutants, and natural aging can strip your skin of its brightness, leaving it looking lackluster. Standard moisturizers can soften the skin, but they rarely address the deep-seated issue of discoloration or environmental dullness. You shouldn't have to choose between deep hydration and a bright, even complexion. You want skin that looks as awake, fresh, and energetic as you feel.","Our formula is a potent cocktail of concentrated Vitamin C and protective antioxidants. Vitamin C is the gold standard for brightening—it actively neutralizes free radicals and inhibits the overproduction of pigment that causes dark spots. We’ve blended this with exotic botanical emollients to ensure that while you brighten, you are also deeply conditioning the skin. It creates a protective 'anti-dullness' shield. By boosting collagen production and actively fading dark spots, this lotion doesn't just sit on your skin, it works to restore your natural radiance from the inside out."
Ph0009,Pure Arabian Glow therapy,Partner Products,"₦8,000",6156000513157,images/Pure Arabian Glow Therapy.png,I will like to get Pure Arabian Glow therapy,"External stressors like pollution, climate shifts, and synthetic skincare ingredients can compromise your skin's natural barrier. When the barrier is damaged, moisture evaporates, leading to: Chronic Dryness: A persistent feeling of tightness and discomfort.Loss of Vitality: A dull, greyish, or uneven skin tone that lacks a ""glow."" Texture Issues: Rough patches or flakiness that make your skin look aged and tired. Lack of Nourishment: Skin that feels ""thirsty"" and unresponsive to standard lotions.","Pure Arabian Glow Therapy is a luxurious, deeply restorative body lotion formulated to act as an intensive treatment, not just a surface moisturizer. Inspired by traditional, time-tested beauty rituals of the Middle East, our formula bridges the gap between ancient botanical wisdom and modern dermatological science.Our unique blend focuses on cellular hydration and barrier reinforcement to transform your skin from the inside out."
Ph0010,TIL Max Mara Vitamin B3 whitening lotion,Community Favorite,"6,500",,TIL MAX MARA Vitamin B3 whitening lotion,I will like to get TIL MAX MARA Vitamin B3 whitening lotion,"Many of us struggle daily with skin that looks tired, uneven, and lackluster. Whether it’s due to environmental pollutants, sun exposure, or simply the harsh elements of daily life, our skin often suffers from: Hyper-pigmentation: Stubborn dark spots and uneven skin tone that won't go away. Dehydration: A dull, ""ashy"" texture caused by a compromised moisture barrier. Lack of Vibrancy: Skin that feels rough to the touch and lacks the natural, healthy luminosity you desire.","Don’t settle for products that only sit on the surface. With our scientifically balanced formula, you are investing in a healthier, more confident version of yourself. Whether you’re dealing with discoloration or simply want to reclaim your natural, healthy glow, TIL MAX MARA is your daily partner in achieving flawless skin. Ready to transform your routine? Experience the radiant difference of TIL MAX MARA today."
